#timebase=4000000(ps)
,#voltbase=5000000(mv/100)
#size=4000
1.81E-05,10.000
1.82E-05,10.000
1.82E-05,10.000
1.82E-05,10.000
1.82E-05,9.800
1.82E-05,10.000
1.83E-05,10.000
1.83E-05,9.600
1.83E-05,10.000
1.83E-05,9.800
1.83E-05,9.800
1.84E-05,9.800
1.84E-05,9.800
1.84E-05,10.000
1.84E-05,10.000
1.84E-05,9.800
1.85E-05,10.000
1.85E-05,9.800
1.85E-05,9.800
1.85E-05,10.000
1.85E-05,9.800
1.86E-05,9.600
1.86E-05,9.800
1.86E-05,10.000
1.86E-05,9.800
1.86E-05,9.800
1.87E-05,9.800
1.87E-05,9.600
1.87E-05,9.800
1.87E-05,10.000
1.87E-05,9.800
1.88E-05,9.600
1.88E-05,9.800
1.88E-05,9.800
1.88E-05,10.200
1.88E-05,9.600
1.89E-05,9.800
1.89E-05,10.200
1.89E-05,9.600
1.89E-05,10.000
1.89E-05,9.800
1.90E-05,10.000
1.90E-05,10.000
1.90E-05,9.600
1.90E-05,9.800
1.90E-05,9.600
1.91E-05,9.600
1.91E-05,10.000
1.91E-05,9.800
1.91E-05,10.000
1.91E-05,9.800
1.92E-05,9.800
1.92E-05,10.000
1.92E-05,9.600
1.92E-05,9.800
1.92E-05,9.800
1.93E-05,9.800
1.93E-05,9.800
1.93E-05,9.800
1.93E-05,10.200
1.93E-05,9.800
1.94E-05,10.200
1.94E-05,9.600
1.94E-05,9.800
1.94E-05,10.200
1.94E-05,10.200
1.95E-05,9.800
1.95E-05,10.000
1.95E-05,9.800
1.95E-05,10.000
1.95E-05,9.800
1.96E-05,10.000
1.96E-05,10.200
1.96E-05,9.800
1.96E-05,10.000
1.96E-05,9.800
1.97E-05,10.000
1.97E-05,9.800
1.97E-05,9.600
1.97E-05,9.800
1.97E-05,9.800
1.98E-05,10.000
1.98E-05,10.000
1.98E-05,9.600
1.98E-05,9.800
1.98E-05,10.200
1.99E-05,9.800
1.99E-05,9.600
1.99E-05,10.000
1.99E-05,9.800
1.99E-05,9.800
2.00E-05,9.800
2.00E-05,9.800
2.00E-05,10.000
2.00E-05,9.600
2.00E-05,9.800
2.01E-05,10.000
2.01E-05,9.800
2.01E-05,9.800
2.01E-05,9.800
2.01E-05,9.800
2.02E-05,9.600
2.02E-05,10.000
2.02E-05,10.000
2.02E-05,9.800
2.02E-05,9.800
2.03E-05,9.800
2.03E-05,9.600
2.03E-05,10.000
2.03E-05,9.800
2.03E-05,9.800
2.04E-05,10.000
2.04E-05,10.000
2.04E-05,10.000
2.04E-05,9.800
2.04E-05,9.800
2.05E-05,9.600
2.05E-05,10.000
2.05E-05,9.600
2.05E-05,9.600
2.05E-05,9.600
2.06E-05,9.600
2.06E-05,10.000
2.06E-05,9.800
2.06E-05,9.800
2.06E-05,9.600
2.07E-05,10.000
2.07E-05,9.800
2.07E-05,9.600
2.07E-05,10.000
2.07E-05,10.000
2.08E-05,9.800
2.08E-05,9.800
2.08E-05,9.800
2.08E-05,10.000
2.08E-05,9.800
2.09E-05,9.800
2.09E-05,9.800
2.09E-05,10.000
2.09E-05,10.000
2.09E-05,9.800
2.10E-05,9.800
2.10E-05,9.800
2.10E-05,9.800
2.10E-05,10.000
2.10E-05,9.600
2.11E-05,10.000
2.11E-05,10.000
2.11E-05,9.800
2.11E-05,10.000
2.11E-05,9.800
2.12E-05,9.800
2.12E-05,10.000
