#timebase=20000000000(ps)
,#voltbase=50000(mv/100)
#size=4000
5.56E-02,-0.022
5.57E-02,-0.024
5.58E-02,-0.026
5.59E-02,-0.036
5.60E-02,-0.030
5.61E-02,-0.016
5.62E-02,-0.038
5.63E-02,-0.032
5.64E-02,-0.036
5.65E-02,-0.020
5.66E-02,-0.022
5.67E-02,-0.026
5.68E-02,-0.026
5.69E-02,-0.016
5.70E-02,-0.022
5.71E-02,-0.018
5.72E-02,-0.016
5.73E-02,-0.018
5.74E-02,-0.014
5.75E-02,-0.016
5.76E-02,-0.014
5.77E-02,-0.012
5.78E-02,-0.012
5.79E-02,-0.012
5.80E-02,-0.012
5.81E-02,-0.012
5.82E-02,-0.010
5.83E-02,-0.008
5.84E-02,-0.008
5.85E-02,-0.008
5.86E-02,-0.006
5.87E-02,-0.004
5.88E-02,-0.006
5.89E-02,-0.002
5.90E-02,-0.004
5.91E-02,-0.002
5.92E-02,-0.002
5.93E-02,0.000
5.94E-02,0.004
5.95E-02,0.000
5.96E-02,0.002
5.97E-02,0.006
5.98E-02,0.000
5.99E-02,0.002
6.00E-02,0.004
6.01E-02,0.006
6.02E-02,0.006
6.03E-02,0.010
6.04E-02,0.008
6.05E-02,0.010
6.06E-02,0.004
6.07E-02,0.008
6.08E-02,0.018
6.09E-02,0.014
6.10E-02,0.018
6.11E-02,0.020
6.12E-02,0.016
6.13E-02,0.018
6.14E-02,0.008
6.15E-02,0.020
6.16E-02,0.012
6.17E-02,0.010
6.18E-02,0.028
6.19E-02,0.018
6.20E-02,0.012
6.21E-02,0.028
6.22E-02,0.018
6.23E-02,0.020
6.24E-02,0.024
6.25E-02,0.024
6.26E-02,0.024
6.27E-02,0.026
6.28E-02,0.020
6.29E-02,0.026
6.30E-02,0.030
6.31E-02,0.024
6.32E-02,0.028
6.33E-02,0.026
6.34E-02,0.026
6.35E-02,0.020
6.36E-02,0.030
6.37E-02,0.026
6.38E-02,0.024
6.39E-02,0.026
6.40E-02,0.026
6.41E-02,0.020
6.42E-02,0.026
6.43E-02,0.026
6.44E-02,0.026
6.45E-02,0.020
6.46E-02,0.022
6.47E-02,0.018
6.48E-02,0.026
6.49E-02,0.020
6.50E-02,0.022
6.51E-02,0.026
6.52E-02,0.014
6.53E-02,0.018
6.54E-02,0.016
6.55E-02,0.028
6.56E-02,0.026
6.57E-02,0.022
6.58E-02,0.030
6.59E-02,0.028
6.60E-02,0.014
6.61E-02,0.020
6.62E-02,0.034
6.63E-02,0.012
6.64E-02,0.024
6.65E-02,0.028
6.66E-02,0.026
6.67E-02,0.026
6.68E-02,0.016
6.69E-02,0.032
6.70E-02,0.012
6.71E-02,0.014
6.72E-02,0.018
6.73E-02,0.018
6.74E-02,0.014
6.75E-02,0.012
6.76E-02,0.010
6.77E-02,0.010
6.78E-02,0.010
6.79E-02,0.012
6.80E-02,0.008
6.81E-02,0.010
6.82E-02,0.010
6.83E-02,0.002
6.84E-02,0.004
6.85E-02,0.002
6.86E-02,0.002
6.87E-02,0.004
6.88E-02,0.004
6.89E-02,0.002
6.90E-02,0.002
6.91E-02,0.008
6.92E-02,0.000
6.93E-02,0.000
6.94E-02,-0.002
6.95E-02,-0.006
6.96E-02,-0.004
6.97E-02,-0.004
6.98E-02,-0.008
6.99E-02,-0.008
7.00E-02,-0.006
7.01E-02,-0.008
7.02E-02,-0.002
7.03E-02,-0.008
7.04E-02,-0.008
7.05E-02,-0.010
7.06E-02,-0.010
7.07E-02,-0.024
7.08E-02,-0.016
7.09E-02,-0.002
7.10E-02,-0.016
7.11E-02,-0.020
7.12E-02,-0.020
7.13E-02,-0.020
7.14E-02,-0.024
7.15E-02,-0.016
7.16E-02,-0.012
7.17E-02,-0.024
7.18E-02,-0.014
7.19E-02,-0.018
7.20E-02,-0.024
7.21E-02,-0.022
7.22E-02,-0.024
7.23E-02,-0.020
7.24E-02,-0.028
7.25E-02,-0.036
7.26E-02,-0.024
7.27E-02,-0.024
7.28E-02,-0.024
7.29E-02,-0.032
7.30E-02,-0.024
7.31E-02,-0.034
7.32E-02,-0.030
7.33E-02,-0.030
7.34E-02,-0.036
7.35E-02,-0.026
7.36E-02,-0.032
7.37E-02,-0.032
7.38E-02,-0.030
7.39E-02,-0.040
7.40E-02,-0.028
7.41E-02,-0.026
7.42E-02,-0.046
7.43E-02,-0.020
7.44E-02,-0.032
7.45E-02,-0.034
7.46E-02,-0.022
7.47E-02,-0.024
7.48E-02,-0.026
7.49E-02,-0.034
7.50E-02,-0.036
7.51E-02,-0.030
7.52E-02,-0.030
7.53E-02,-0.034
7.54E-02,-0.014
7.55E-02,-0.032
7.56E-02,-0.024
7.57E-02,-0.038
7.58E-02,-0.022
7.59E-02,-0.028
7.60E-02,-0.024
7.61E-02,-0.016
7.62E-02,-0.028
7.63E-02,-0.034
7.64E-02,-0.016
7.65E-02,-0.042
7.66E-02,-0.026
7.67E-02,-0.026
7.68E-02,-0.016
7.69E-02,-0.024
7.70E-02,-0.024
7.71E-02,-0.024
7.72E-02,-0.022
7.73E-02,-0.016
7.74E-02,-0.018
7.75E-02,-0.016
7.76E-02,-0.016
7.77E-02,-0.014
7.78E-02,-0.014
7.79E-02,-0.010
7.80E-02,-0.014
7.81E-02,-0.008
7.82E-02,-0.008
7.83E-02,-0.004
7.84E-02,-0.006
7.85E-02,-0.006
7.86E-02,-0.004
7.87E-02,-0.006
7.88E-02,-0.004
7.89E-02,-0.004
7.90E-02,-0.004
7.91E-02,0.000
7.92E-02,0.000
7.93E-02,0.000
7.94E-02,0.000
7.95E-02,0.000
7.96E-02,0.006
7.97E-02,0.002
7.98E-02,0.008
7.99E-02,0.004
8.00E-02,0.004
8.01E-02,0.008
8.02E-02,0.008
8.03E-02,0.006
8.04E-02,0.010
8.05E-02,0.008
8.06E-02,0.010
8.07E-02,0.008
8.08E-02,0.010
8.09E-02,0.008
8.10E-02,0.020
8.11E-02,0.016
8.12E-02,0.014
8.13E-02,0.018
8.14E-02,0.012
8.15E-02,0.014
8.16E-02,0.016
8.17E-02,0.018
8.18E-02,0.008
8.19E-02,0.016
8.20E-02,0.016
8.21E-02,0.018
8.22E-02,0.016
8.23E-02,0.028
8.24E-02,0.024
8.25E-02,0.018
8.26E-02,0.020
8.27E-02,0.032
8.28E-02,0.032
8.29E-02,0.032
8.30E-02,0.028
8.31E-02,0.026
8.32E-02,0.030
8.33E-02,0.026
8.34E-02,0.032
8.35E-02,0.026
8.36E-02,0.026
8.37E-02,0.034
8.38E-02,0.022
8.39E-02,0.026
8.40E-02,0.024
8.41E-02,0.024
8.42E-02,0.026
8.43E-02,0.024
8.44E-02,0.024
8.45E-02,0.020
8.46E-02,0.016
8.47E-02,0.026
8.48E-02,0.026
8.49E-02,0.012
8.50E-02,0.016
8.51E-02,0.026
8.52E-02,0.020
8.53E-02,0.034
8.54E-02,0.018
8.55E-02,0.034
8.56E-02,0.032
8.57E-02,0.008
8.58E-02,0.026
8.59E-02,0.024
8.60E-02,0.034
8.61E-02,0.024
8.62E-02,0.020
8.63E-02,0.020
8.64E-02,0.012
8.65E-02,0.032
8.66E-02,0.010
8.67E-02,0.018
8.68E-02,0.020
8.69E-02,0.020
8.70E-02,0.016
8.71E-02,0.016
8.72E-02,0.010
8.73E-02,0.016
8.74E-02,0.014
8.75E-02,0.012
8.76E-02,0.014
8.77E-02,0.010
8.78E-02,0.008
8.79E-02,0.006
8.80E-02,0.008
8.81E-02,0.008
8.82E-02,0.004
8.83E-02,0.008
8.84E-02,0.010
8.85E-02,0.004
8.86E-02,0.002
8.87E-02,0.008
8.88E-02,0.000
8.89E-02,0.000
8.90E-02,0.000
8.91E-02,0.002
8.92E-02,0.004
8.93E-02,0.000
8.94E-02,-0.006
8.95E-02,-0.006
8.96E-02,-0.002
8.97E-02,-0.002
8.98E-02,-0.008
8.99E-02,-0.006
9.00E-02,-0.006
9.01E-02,-0.004
9.02E-02,-0.006
9.03E-02,-0.006
9.04E-02,-0.012
9.05E-02,-0.018
9.06E-02,-0.012
9.07E-02,-0.014
9.08E-02,-0.008
9.09E-02,-0.024
9.10E-02,-0.020
9.11E-02,-0.024
9.12E-02,-0.022
9.13E-02,-0.032
9.14E-02,-0.012
9.15E-02,-0.024
9.16E-02,-0.020
9.17E-02,-0.016
9.18E-02,-0.022
9.19E-02,-0.026
9.20E-02,-0.032
9.21E-02,-0.026
9.22E-02,-0.024
9.23E-02,-0.030
9.24E-02,-0.026
9.25E-02,-0.030
9.26E-02,-0.022
9.27E-02,-0.024
9.28E-02,-0.024
9.29E-02,-0.020
9.30E-02,-0.032
9.31E-02,-0.026
9.32E-02,-0.026
9.33E-02,-0.032
9.34E-02,-0.026
9.35E-02,-0.040
9.36E-02,-0.026
9.37E-02,-0.032
9.38E-02,-0.028
9.39E-02,-0.032
