#timebase=4000000(ps)
,#voltbase=5000000(mv/100)
#size=4000
1.28E-05,1.000
1.28E-05,0.800
1.28E-05,0.800
1.29E-05,0.800
1.29E-05,1.000
1.29E-05,0.800
1.29E-05,0.800
1.29E-05,0.800
1.30E-05,0.800
1.30E-05,1.000
1.30E-05,0.800
1.30E-05,0.600
1.30E-05,1.200
1.31E-05,0.800
1.31E-05,0.800
1.31E-05,1.000
1.31E-05,0.800
1.31E-05,1.000
1.32E-05,1.000
1.32E-05,0.600
1.32E-05,0.800
1.32E-05,0.800
1.32E-05,0.800
1.33E-05,1.000
1.33E-05,0.800
1.33E-05,0.600
1.33E-05,0.600
1.33E-05,0.800
1.34E-05,0.800
1.34E-05,1.000
1.34E-05,0.800
1.34E-05,0.600
1.34E-05,0.800
1.35E-05,0.600
1.35E-05,0.800
1.35E-05,0.600
1.35E-05,0.800
1.35E-05,1.000
1.36E-05,1.000
1.36E-05,0.600
1.36E-05,0.600
1.36E-05,0.800
1.36E-05,0.600
1.37E-05,0.800
1.37E-05,0.600
1.37E-05,0.800
1.37E-05,0.800
1.37E-05,1.000
1.38E-05,0.800
1.38E-05,0.800
1.38E-05,0.800
1.38E-05,0.800
1.38E-05,0.800
1.39E-05,1.000
1.39E-05,0.800
1.39E-05,1.000
1.39E-05,1.000
1.39E-05,1.000
1.40E-05,0.600
1.40E-05,0.600
1.40E-05,0.800
1.40E-05,1.000
1.40E-05,0.600
1.41E-05,0.600
1.41E-05,0.800
1.41E-05,1.000
1.41E-05,0.600
1.41E-05,0.600
1.42E-05,0.800
1.42E-05,1.000
1.42E-05,0.600
1.42E-05,0.600
1.42E-05,0.800
1.43E-05,1.000
1.43E-05,1.000
1.43E-05,1.000
1.43E-05,1.000
1.43E-05,1.000
1.44E-05,1.000
1.44E-05,1.000
1.44E-05,1.000
1.44E-05,1.000
1.44E-05,1.000
1.45E-05,1.000
1.45E-05,1.000
1.45E-05,0.600
1.45E-05,0.600
1.45E-05,0.800
1.46E-05,0.800
1.46E-05,0.800
1.46E-05,0.800
1.46E-05,0.800
1.46E-05,0.800
1.47E-05,0.800
1.47E-05,0.800
1.47E-05,0.800
1.47E-05,1.000
1.47E-05,0.800
1.48E-05,0.800
1.48E-05,0.800
1.48E-05,0.800
1.48E-05,0.800
1.48E-05,1.000
1.49E-05,0.800
1.49E-05,0.800
1.49E-05,0.800
1.49E-05,0.800
1.49E-05,1.000
1.50E-05,0.800
1.50E-05,0.600
1.50E-05,0.800
1.50E-05,0.600
1.50E-05,0.600
1.51E-05,0.800
1.51E-05,0.600
1.51E-05,0.600
1.51E-05,0.800
1.51E-05,0.600
1.52E-05,0.800
1.52E-05,0.800
1.52E-05,0.800
1.52E-05,0.800
1.52E-05,1.000
1.53E-05,0.800
1.53E-05,0.800
1.53E-05,0.800
1.53E-05,0.800
1.53E-05,0.800
1.54E-05,0.800
1.54E-05,1.000
1.54E-05,0.800
1.54E-05,1.000
1.54E-05,1.000
1.55E-05,1.000
1.55E-05,0.600
1.55E-05,0.600
1.55E-05,0.800
1.55E-05,0.600
1.56E-05,0.600
1.56E-05,0.800
1.56E-05,0.600
1.56E-05,0.800
