#timebase=4000000000(ps)
,#voltbase=5000000(mv/100)
#size=4000
3.36E-02,0.000
3.36E-02,-0.200
3.37E-02,0.000
3.37E-02,0.200
3.38E-02,0.000
3.38E-02,0.000
3.38E-02,0.200
3.39E-02,0.200
3.39E-02,0.200
3.40E-02,-0.200
3.40E-02,0.000
3.40E-02,0.000
3.41E-02,0.000
3.41E-02,-0.200
3.42E-02,0.000
3.42E-02,0.200
3.42E-02,0.200
3.43E-02,0.200
3.43E-02,0.400
3.44E-02,0.400
3.44E-02,0.400
3.44E-02,0.200
3.45E-02,0.200
3.45E-02,0.000
3.46E-02,0.200
3.46E-02,0.000
3.46E-02,0.000
3.47E-02,-0.200
3.47E-02,0.200
3.48E-02,-0.200
3.48E-02,0.200
3.48E-02,0.000
3.49E-02,0.200
3.49E-02,0.000
3.50E-02,0.000
3.50E-02,0.000
3.50E-02,0.400
3.51E-02,0.200
3.51E-02,0.200
3.52E-02,0.200
3.52E-02,-0.200
3.52E-02,0.000
3.53E-02,0.000
3.53E-02,0.000
3.54E-02,0.200
3.54E-02,0.000
3.54E-02,0.000
3.55E-02,0.000
3.55E-02,-0.200
3.56E-02,0.200
3.56E-02,-0.200
3.56E-02,-0.200
3.57E-02,0.000
3.57E-02,0.200
3.58E-02,0.200
3.58E-02,-0.200
3.58E-02,0.000
3.59E-02,0.000
3.59E-02,0.400
3.60E-02,0.000
3.60E-02,0.000
3.60E-02,0.000
3.61E-02,0.200
3.61E-02,0.000
3.62E-02,0.200
3.62E-02,0.000
3.62E-02,0.000
3.63E-02,0.000
3.63E-02,0.200
3.64E-02,0.000
3.64E-02,0.400
3.64E-02,-0.200
3.65E-02,-0.200
3.65E-02,0.200
3.66E-02,-0.200
3.66E-02,0.000
3.66E-02,0.000
3.67E-02,0.200
3.67E-02,0.000
3.68E-02,0.000
3.68E-02,-0.200
3.68E-02,0.000
3.69E-02,0.200
3.69E-02,0.000
3.70E-02,0.000
3.70E-02,-0.200
3.70E-02,0.000
3.71E-02,0.000
3.71E-02,0.400
3.72E-02,0.000
3.72E-02,-0.200
3.72E-02,0.000
3.73E-02,0.000
3.73E-02,-0.200
3.74E-02,0.000
3.74E-02,0.000
3.74E-02,0.000
3.75E-02,0.000
3.75E-02,0.000
3.76E-02,-0.200
3.76E-02,0.000
3.76E-02,0.200
3.77E-02,0.200
3.77E-02,-0.200
3.78E-02,0.000
3.78E-02,0.000
3.78E-02,0.000
3.79E-02,-0.200
3.79E-02,0.000
3.80E-02,-0.200
3.80E-02,-0.200
3.80E-02,0.000
3.81E-02,-0.200
3.81E-02,0.000
3.82E-02,0.200
3.82E-02,0.000
3.82E-02,0.200
3.83E-02,0.400
3.83E-02,0.400
3.84E-02,-0.200
3.84E-02,-0.200
3.84E-02,0.000
3.85E-02,-0.200
3.85E-02,0.000
3.86E-02,-0.200
3.86E-02,0.000
3.86E-02,0.200
3.87E-02,0.200
3.87E-02,0.200
3.88E-02,0.200
3.88E-02,-0.200
3.88E-02,0.000
3.89E-02,0.200
3.89E-02,0.000
3.90E-02,0.000
3.90E-02,0.200
3.90E-02,-0.200
3.91E-02,0.000
3.91E-02,0.000
3.92E-02,0.200
3.92E-02,-0.200
3.92E-02,0.200
3.93E-02,0.200
3.93E-02,0.000
3.94E-02,0.200
3.94E-02,0.000
3.94E-02,0.000
3.95E-02,0.000
3.95E-02,0.000
3.96E-02,0.000
3.96E-02,0.000
3.96E-02,0.200
3.97E-02,-0.200
3.97E-02,0.200
3.98E-02,0.200
3.98E-02,0.000
3.98E-02,0.200
3.99E-02,0.000
3.99E-02,0.000
4.00E-02,-0.200
4.00E-02,0.000
4.00E-02,0.000
4.01E-02,0.000
4.01E-02,0.000
4.02E-02,0.000
4.02E-02,0.200
4.02E-02,0.000
4.03E-02,-0.200
4.03E-02,0.000
4.04E-02,0.000
4.04E-02,0.200
4.04E-02,-0.200
4.05E-02,0.000
4.05E-02,0.000
4.06E-02,0.000
4.06E-02,0.200
4.06E-02,0.000
4.07E-02,0.000
4.07E-02,0.000
4.08E-02,0.000
4.08E-02,0.200
4.08E-02,0.000
4.09E-02,0.000
4.09E-02,0.400
4.10E-02,0.200
4.10E-02,0.200
4.10E-02,0.400
4.11E-02,-0.200
4.11E-02,0.000
4.12E-02,0.000
4.12E-02,0.200
4.12E-02,0.200
4.13E-02,0.000
4.13E-02,0.000
4.14E-02,0.200
4.14E-02,0.200
4.14E-02,0.200
4.15E-02,-0.200
4.15E-02,-0.200
4.16E-02,0.000
4.16E-02,-0.200
4.16E-02,0.200
4.17E-02,0.000
4.17E-02,0.000
4.18E-02,-0.200
4.18E-02,-0.200
4.18E-02,0.000
4.19E-02,0.200
4.19E-02,-0.200
4.20E-02,0.000
4.20E-02,0.000
4.20E-02,0.200
4.21E-02,-0.200
4.21E-02,0.200
4.22E-02,0.000
4.22E-02,0.000
4.22E-02,0.200
4.23E-02,0.000
4.23E-02,-0.200
4.24E-02,0.000
4.24E-02,-0.200
4.24E-02,0.000
4.25E-02,0.200
4.25E-02,0.200
4.26E-02,0.200
4.26E-02,0.400
4.26E-02,0.000
4.27E-02,-0.200
4.27E-02,0.000
4.28E-02,0.000
4.28E-02,0.000
4.28E-02,0.000
4.29E-02,0.000
4.29E-02,0.200
4.30E-02,0.200
4.30E-02,0.000
4.30E-02,-0.200
4.31E-02,0.000
4.31E-02,-0.200
4.32E-02,0.000
4.32E-02,0.200
4.32E-02,0.000
4.33E-02,0.000
4.33E-02,0.000
4.34E-02,0.200
4.34E-02,0.200
4.34E-02,0.000
4.35E-02,0.000
4.35E-02,0.000
4.36E-02,0.000
4.36E-02,0.200
4.36E-02,0.000
4.37E-02,0.000
4.37E-02,-0.200
4.38E-02,0.200
4.38E-02,0.000
4.38E-02,0.000
4.39E-02,0.000
4.39E-02,-0.200
4.40E-02,0.000
4.40E-02,-0.200
4.40E-02,-0.200
4.41E-02,0.200
4.41E-02,-0.200
4.42E-02,0.000
4.42E-02,0.200
4.42E-02,0.200
4.43E-02,-0.200
4.43E-02,-0.200
4.44E-02,0.000
4.44E-02,0.000
4.44E-02,0.200
4.45E-02,0.000
4.45E-02,-0.200
4.46E-02,0.000
4.46E-02,0.400
4.46E-02,-0.200
4.47E-02,0.200
4.47E-02,0.000
4.48E-02,0.000
4.48E-02,0.200
4.48E-02,0.000
4.49E-02,0.000
4.49E-02,0.000
4.50E-02,-0.200
4.50E-02,0.000
4.50E-02,0.000
4.51E-02,0.000
4.51E-02,0.200
4.52E-02,0.000
4.52E-02,0.000
4.52E-02,0.000
4.53E-02,-0.200
4.53E-02,-0.200
4.54E-02,0.200
4.54E-02,0.200
4.54E-02,0.000
4.55E-02,0.200
4.55E-02,0.200
4.56E-02,0.000
4.56E-02,0.000
4.56E-02,0.000
4.57E-02,0.200
4.57E-02,0.000
4.58E-02,-0.200
4.58E-02,0.000
4.58E-02,0.000
4.59E-02,-0.200
4.59E-02,0.200
4.60E-02,0.200
4.60E-02,0.000
4.60E-02,0.000
4.61E-02,0.000
4.61E-02,0.200
4.62E-02,0.200
4.62E-02,0.000
4.62E-02,0.000
4.63E-02,0.200
4.63E-02,0.000
4.64E-02,0.200
4.64E-02,0.200
4.64E-02,0.000
4.65E-02,0.000
4.65E-02,0.200
4.66E-02,0.000
4.66E-02,0.000
4.66E-02,0.000
4.67E-02,0.000
4.67E-02,0.200
4.68E-02,0.000
4.68E-02,0.000
4.68E-02,0.000
4.69E-02,0.000
4.69E-02,0.200
4.70E-02,0.200
4.70E-02,0.000
4.70E-02,0.000
4.71E-02,0.000
4.71E-02,0.200
4.72E-02,0.000
4.72E-02,0.000
4.72E-02,0.000
4.73E-02,0.000
4.73E-02,0.200
4.74E-02,0.000
4.74E-02,0.000
4.74E-02,0.000
4.75E-02,0.400
4.75E-02,0.200
4.76E-02,0.200
4.76E-02,0.200
4.76E-02,-0.200
4.77E-02,0.200
4.77E-02,0.000
4.78E-02,0.000
4.78E-02,0.000
4.78E-02,0.400
4.79E-02,0.000
4.79E-02,0.200
4.80E-02,0.200
4.80E-02,0.000
4.80E-02,-0.200
4.81E-02,-0.200
4.81E-02,0.000
4.82E-02,-0.200
4.82E-02,0.000
4.82E-02,0.200
4.83E-02,0.000
4.83E-02,0.000
4.84E-02,0.000
4.84E-02,0.200
4.84E-02,0.200
4.85E-02,0.000
4.85E-02,0.200
4.86E-02,0.000
4.86E-02,0.000
4.86E-02,0.000
4.87E-02,0.200
4.87E-02,0.400
4.88E-02,0.400
4.88E-02,-0.200
4.88E-02,-0.200
4.89E-02,0.200
4.89E-02,-0.200
4.90E-02,0.200
4.90E-02,0.000
4.90E-02,0.000
4.91E-02,0.000
4.91E-02,0.000
4.92E-02,0.200
4.92E-02,0.200
4.92E-02,0.000
4.93E-02,0.200
4.93E-02,0.000
4.94E-02,0.000
4.94E-02,0.000
4.94E-02,-0.200
4.95E-02,0.200
4.95E-02,0.000
4.96E-02,0.000
4.96E-02,0.000
4.96E-02,0.000
